,Expected Return,Beta
AAPL,0.0003577151782516706,0.6757814748455153
ABBV,0.0001581168719548787,0.19119448046162127
ABNB,0.0005889158670709175,1.2370930860162639
ADBE,0.0005128462151152953,1.052410336503392
AMD,0.000784354380395134,1.7115808886222368
AMT,0.00011270743075077045,0.08094893260095465
AMZN,0.0006322386877356511,1.3422727132568841
ASML,0.0007661799169088431,1.6674567234488817
BA,0.0004476913077482484,0.8942265256477497
BABA,0.0004402942211851433,0.8762677963813673
BAC,0.00043060331320831583,0.8527401019010399
C,0.0005667451593845388,1.1832667945990865
CAT,0.0005366641062601315,1.1102356782940026
CNQ,0.0003324579975364465,0.6144618097818142
COST,0.0003223935884605478,0.590027325167061
CRM,0.0006297945630972708,1.3363388401976046
CRWD,0.0007888507860743418,1.7224973124839607
CSCO,0.0003530841469483508,0.6645382053919332
CVX,0.00024099937584106675,0.3924175478833353
D,0.00010718092760060753,0.06753162660934757
DDOG,0.0006792624381524476,1.4564374990304199
DG,0.0002503659933487958,0.4151579263455895
DIS,0.0003393339789184974,0.6311553940771295
DLTR,0.00042336461171672254,0.8351659016779301
DOCU,0.0006429622366587175,1.368307464944759
FDX,0.00035738040365485067,0.6749687053452179
FSLY,0.0008473857641002252,1.8646091850452062
GE,0.0005403221355031141,1.1191166824924526
GOOGL,0.00046245869528861017,0.9300789538364207
GS,0.0005920700939414527,1.244750953195381
HD,0.0004102653227459833,0.8033633018028697
HON,0.0002827802453768118,0.49385360897378816
IBM,0.0003628982631450029,0.6883650261626382
INTC,0.0009627249387496441,2.1446309197736197
JNJ,8.029528351461756e-05,0.002258360009918525
KO,9.142323579322073e-05,0.029274926675155744
LLY,0.00033157735843923126,0.6123237843587832
LMT,7.109719272027047e-05,-0.020072867417808712
LOW,0.00040612001718352174,0.7932992827208182
LULU,0.0005809307219535181,1.2177066616324514
LYFT,0.0009386370967557597,2.0861501883006084
MA,0.00031070947593357363,0.5616605064473141
MCD,0.00021334222709775146,0.32527121367134576
MDB,0.0010359889654207757,2.3225021409263404
META,0.0005246179747686684,1.0809899458942425
MMM,0.00037888927883186746,0.7271881924139638
MNSO,0.0004960036358837318,1.0115197347797484
MRK,8.385370390056075e-05,0.010897532714192599
MS,0.0005526712408599044,1.1490979782218806
MSFT,0.000432689351213668,0.8578046082384888
NET,0.0007729816045186285,1.6839699364952043
NFLX,0.0005078346632717953,1.0402432350379638
NKE,0.00035215446196274256,0.6622811058139946
NOW,0.0006220419970926753,1.3175170739780881
NVDA,0.0008826375897669654,1.9501939606043224
OKTA,0.0006192826125304187,1.310817809359154
ORCL,0.0006236488589968627,1.32141823123231
PEP,7.060002224486126e-05,-0.021279903443538917
PFE,0.00022356554227739175,0.35009149229723086
PG,7.408589584605549e-05,-0.01281686063247865
PLD,0.00042471642019675896,0.8384478373840851
PLTR,0.0010392816718726673,2.330496210377701
PYPL,0.0005243730728845604,1.0803953703683242
QCOM,0.0007334261671303462,1.5879368043952446
ROKU,0.0009177594601250003,2.035463229215418
ROST,0.00036448986501343047,0.692229134931829
SBUX,0.00042167851538377703,0.8310723781937737
SHOP,0.0009160930907644565,2.0314175990948966
SNAP,0.0008563754404024565,1.8864344214442808
SNOW,0.0009270875789499834,2.05811014014628
SPG,0.00039452823717811596,0.7651566299268291
SPOT,0.0005769379429175447,1.208012948152717
SQ,0.0009591391914853394,2.1359254025692507
T,8.976504269288935e-05,0.025249146970377695
TGT,0.0004549290264118056,0.9117983397499908
TIXT,0.001050695905715418,2.3582078146176135
TJX,0.00032217754230858,0.5895028059094948
TSLA,0.0009827927225579862,2.193351709143297
TWLO,0.0005596908607522918,1.1661402896947612
TXN,0.0005291753770903433,1.092054458084916
UBER,0.0005763304319389297,1.2065380262225454
UNH,0.0001810253367345952,0.24681190677908368
UPS,0.00030901235365221505,0.557540214042615
V,0.0002982879435121635,0.5315033714825373
VZ,0.00010173527803645219,0.054310617855705595
WMT,0.00024212126587449317,0.3951412850202575
XOM,0.00018391756917986168,0.25383370097019897
ZM,0.0004754543543810125,0.9616299599369479
ZS,0.0007679401570888004,1.6717302541918275
